year,state,quarter,suppression,totalRX
2015,AK,1,F,8901
2015,AK,1,T,0
2015,AK,2,F,9110
2015,AK,2,T,0
2015,AK,3,F,9126
2015,AK,3,T,0
2015,AK,4,F,8915
2015,AK,4,T,0
2015,AZ,1,F,192379
2015,AZ,1,T,0
2015,AZ,2,F,240207
2015,AZ,2,T,0
2015,AZ,3,F,219718
2015,AZ,3,T,0
2015,AZ,4,F,218943
2015,AZ,4,T,0
2015,CO,1,F,81683
2015,CO,1,T,0
2015,CO,2,F,81038
2015,CO,2,T,0
2015,CO,3,F,80092
2015,CO,3,T,0
2015,CO,4,F,87409
2015,CO,4,T,0
2015,CT,1,F,97828
2015,CT,1,T,0
2015,CT,2,F,104321
2015,CT,2,T,0
2015,CT,3,F,105882
2015,CT,3,T,0
2015,CT,4,F,108010
2015,CT,4,T,0
2015,DE,1,F,25665
2015,DE,1,T,0
2015,DE,2,F,27511
2015,DE,2,T,0
2015,DE,3,F,28319
2015,DE,3,T,0
2015,DE,4,F,27352
2015,DE,4,T,0
2015,FL,1,F,300044
2015,FL,1,T,0
2015,FL,2,F,304493
2015,FL,2,T,0
2015,FL,3,F,330117
2015,FL,3,T,0
2015,FL,4,F,338820
2015,FL,4,T,0
2015,HI,1,F,47571
2015,HI,1,T,0
2015,HI,2,F,45100
2015,HI,2,T,0
2015,HI,3,F,48050
2015,HI,3,T,0
2015,HI,4,F,49307
2015,HI,4,T,0
2015,IL,1,F,190891
2015,IL,1,T,0
2015,IL,2,F,184808
2015,IL,2,T,0
2015,IL,3,F,289390
2015,IL,3,T,0
2015,IL,4,F,397848
2015,IL,4,T,0
2015,IN,1,F,125635
2015,IN,1,T,0
2015,IN,2,F,142366
2015,IN,2,T,0
2015,IN,3,F,165830
2015,IN,3,T,0
2015,IN,4,F,187491
2015,IN,4,T,0
2015,KY,1,F,128703
2015,KY,1,T,0
2015,KY,2,F,145463
2015,KY,2,T,0
2015,KY,3,F,117298
2015,KY,3,T,0
2015,KY,4,F,136907
2015,KY,4,T,0
2015,LA,1,F,127370
2015,LA,1,T,0
2015,LA,2,F,110042
2015,LA,2,T,0
2015,LA,3,F,105331
2015,LA,3,T,0
2015,LA,4,F,106115
2015,LA,4,T,0
2015,MI,1,F,404627
2015,MI,1,T,0
2015,MI,2,F,445946
2015,MI,2,T,0
2015,MI,3,F,381131
2015,MI,3,T,0
2015,MI,4,F,414958
2015,MI,4,T,0
2015,MO,1,F,138127
2015,MO,1,T,0
2015,MO,2,F,118931
2015,MO,2,T,0
2015,MO,3,F,144728
2015,MO,3,T,0
2015,MO,4,F,142497
2015,MO,4,T,0
2015,MS,1,F,54436
2015,MS,1,T,0
2015,MS,2,F,50328
2015,MS,2,T,0
2015,MS,3,F,53675
2015,MS,3,T,0
2015,MS,4,F,53342
2015,MS,4,T,0
2015,NC,1,F,135677
2015,NC,1,T,0
2015,NC,2,F,131174
2015,NC,2,T,0
2015,NC,3,F,140554
2015,NC,3,T,0
2015,NC,4,F,129720
2015,NC,4,T,0
2015,NH,1,F,16664
2015,NH,1,T,0
2015,NH,2,F,15335
2015,NH,2,T,0
2015,NH,3,F,17463
2015,NH,3,T,0
2015,NH,4,F,16491
2015,NH,4,T,0
2015,NJ,1,F,332579
2015,NJ,1,T,0
2015,NJ,2,F,232742
2015,NJ,2,T,0
2015,NJ,3,F,312558
2015,NJ,3,T,0
2015,NJ,4,F,277861
2015,NJ,4,T,0
2015,NV,1,F,74356
2015,NV,1,T,0
2015,NV,2,F,85292
2015,NV,2,T,0
2015,NV,3,F,83548
2015,NV,3,T,0
2015,NV,4,F,90400
2015,NV,4,T,0
2015,NY,1,F,1332370
2015,NY,1,T,0
2015,NY,2,F,1425504
2015,NY,2,T,0
2015,NY,3,F,1281281
2015,NY,3,T,0
2015,NY,4,F,1325491
2015,NY,4,T,0
2015,OH,1,F,483276
2015,OH,1,T,0
2015,OH,2,F,548404
2015,OH,2,T,0
2015,OH,3,F,561687
2015,OH,3,T,0
2015,OH,4,F,548180
2015,OH,4,T,0
2015,OK,1,F,36018
2015,OK,1,T,0
2015,OK,2,F,37598
2015,OK,2,T,0
2015,OK,3,F,41354
2015,OK,3,T,0
2015,OK,4,F,40241
2015,OK,4,T,0
2015,PA,1,F,269953
2015,PA,1,T,0
2015,PA,2,F,356444
2015,PA,2,T,0
2015,PA,3,F,382053
2015,PA,3,T,0
2015,PA,4,F,436457
2015,PA,4,T,0
2015,SC,1,F,54807
2015,SC,1,T,0
2015,SC,2,F,48648
2015,SC,2,T,0
2015,SC,3,F,49037
2015,SC,3,T,0
2015,SC,4,F,43865
2015,SC,4,T,0
2015,TN,1,F,122029
2015,TN,1,T,0
2015,TN,2,F,127503
2015,TN,2,T,0
2015,TN,3,F,121372
2015,TN,3,T,0
2015,TN,4,F,136538
2015,TN,4,T,0
2015,UT,1,F,29446
2015,UT,1,T,0
2015,UT,2,F,28599
2015,UT,2,T,0
2015,UT,3,F,27067
2015,UT,3,T,0
2015,UT,4,F,26527
2015,UT,4,T,0
2015,VA,1,F,104259
2015,VA,1,T,0
2015,VA,2,F,105055
2015,VA,2,T,0
2015,VA,3,F,113048
2015,VA,3,T,0
2015,VA,4,F,110252
2015,VA,4,T,0
2015,WA,1,F,183045
2015,WA,1,T,0
2015,WA,2,F,190924
2015,WA,2,T,0
2015,WA,3,F,167468
2015,WA,3,T,0
2015,WA,4,F,200407
2015,WA,4,T,0
2015,WV,1,F,92333
2015,WV,1,T,0
2015,WV,2,F,99147
2015,WV,2,T,0
2015,WV,3,F,91216
2015,WV,3,T,0
2015,WV,4,F,101263
2015,WV,4,T,0
2015,WY,1,F,3346
2015,WY,1,T,0
2015,WY,2,F,3236
2015,WY,2,T,0
2015,WY,3,F,3392
2015,WY,3,T,0
2015,WY,4,F,3315
2015,WY,4,T,0
2016,AK,1,F,12381
2016,AK,1,T,0
2016,AK,2,F,11605
2016,AK,2,T,0
2016,AK,3,F,15412
2016,AK,3,T,0
2016,AK,4,F,14509
2016,AK,4,T,0
2016,AZ,1,F,330412
2016,AZ,1,T,0
2016,AZ,2,F,213804
2016,AZ,2,T,0
2016,AZ,3,F,221629
2016,AZ,3,T,0
2016,AZ,4,F,221973
2016,AZ,4,T,0
2016,CO,1,F,92249
2016,CO,1,T,0
2016,CO,2,F,93699
2016,CO,2,T,0
2016,CO,3,F,93555
2016,CO,3,T,0
2016,CO,4,F,92516
2016,CO,4,T,0
2016,CT,1,F,113300
2016,CT,1,T,0
2016,CT,2,F,115151
2016,CT,2,T,0
2016,CT,3,F,113930
2016,CT,3,T,0
2016,CT,4,F,107370
2016,CT,4,T,0
2016,DE,1,F,31906
2016,DE,1,T,0
2016,DE,2,F,32785
2016,DE,2,T,0
2016,DE,3,F,32648
2016,DE,3,T,0
2016,DE,4,F,28470
2016,DE,4,T,0
2016,FL,1,F,338312
2016,FL,1,T,0
2016,FL,2,F,338708
2016,FL,2,T,0
2016,FL,3,F,315410
2016,FL,3,T,0
2016,FL,4,F,343933
2016,FL,4,T,0
2016,HI,1,F,41260
2016,HI,1,T,0
2016,HI,2,F,40925
2016,HI,2,T,0
2016,HI,3,F,39643
2016,HI,3,T,0
2016,HI,4,F,50562
2016,HI,4,T,0
2016,IL,1,F,340440
2016,IL,1,T,0
2016,IL,2,F,300591
2016,IL,2,T,0
2016,IL,3,F,283785
2016,IL,3,T,0
2016,IL,4,F,408631
2016,IL,4,T,0
2016,IN,1,F,186192
2016,IN,1,T,0
2016,IN,2,F,233107
2016,IN,2,T,0
2016,IN,3,F,202973
2016,IN,3,T,0
2016,IN,4,F,200153
2016,IN,4,T,0
2016,KY,1,F,306323
2016,KY,1,T,0
2016,KY,2,F,192208
2016,KY,2,T,0
2016,KY,3,F,230222
2016,KY,3,T,0
2016,KY,4,F,270082
2016,KY,4,T,0
2016,LA,1,F,105123
2016,LA,1,T,0
2016,LA,2,F,102976
2016,LA,2,T,0
2016,LA,3,F,153238
2016,LA,3,T,0
2016,LA,4,F,181581
2016,LA,4,T,0
2016,MI,1,F,535497
2016,MI,1,T,0
2016,MI,2,F,456899
2016,MI,2,T,0
2016,MI,3,F,446720
2016,MI,3,T,0
2016,MI,4,F,453312
2016,MI,4,T,0
2016,MO,1,F,145712
2016,MO,1,T,0
2016,MO,2,F,130881
2016,MO,2,T,0
2016,MO,3,F,146864
2016,MO,3,T,0
2016,MO,4,F,142062
2016,MO,4,T,0
2016,MS,1,F,53586
2016,MS,1,T,0
2016,MS,2,F,53069
2016,MS,2,T,0
2016,MS,3,F,52385
2016,MS,3,T,0
2016,MS,4,F,57249
2016,MS,4,T,0
2016,NC,1,F,132820
2016,NC,1,T,0
2016,NC,2,F,121791
2016,NC,2,T,0
2016,NC,3,F,138126
2016,NC,3,T,0
2016,NC,4,F,120906
2016,NC,4,T,0
2016,NH,1,F,12750
2016,NH,1,T,0
2016,NH,2,F,12455
2016,NH,2,T,0
2016,NH,3,F,12060
2016,NH,3,T,0
2016,NH,4,F,12127
2016,NH,4,T,0
2016,NJ,1,F,322306
2016,NJ,1,T,0
2016,NJ,2,F,375410
2016,NJ,2,T,0
2016,NJ,3,F,224535
2016,NJ,3,T,0
2016,NJ,4,F,493262
2016,NJ,4,T,0
2016,NV,1,F,93412
2016,NV,1,T,0
2016,NV,2,F,111365
2016,NV,2,T,0
2016,NV,3,F,97946
2016,NV,3,T,0
2016,NV,4,F,98305
2016,NV,4,T,0
2016,NY,1,F,1458923
2016,NY,1,T,0
2016,NY,2,F,1386697
2016,NY,2,T,0
2016,NY,3,F,1337085
2016,NY,3,T,0
2016,NY,4,F,1334212
2016,NY,4,T,0
2016,OH,1,F,639073
2016,OH,1,T,0
2016,OH,2,F,586214
2016,OH,2,T,0
2016,OH,3,F,604720
2016,OH,3,T,0
2016,OH,4,F,593061
2016,OH,4,T,0
2016,OK,1,F,39330
2016,OK,1,T,0
2016,OK,2,F,33266
2016,OK,2,T,0
2016,OK,3,F,37818
2016,OK,3,T,0
2016,OK,4,F,37307
2016,OK,4,T,0
2016,PA,1,F,422818
2016,PA,1,T,0
2016,PA,2,F,414724
2016,PA,2,T,0
2016,PA,3,F,410829
2016,PA,3,T,0
2016,PA,4,F,430259
2016,PA,4,T,0
2016,SC,1,F,38252
2016,SC,1,T,0
2016,SC,2,F,42079
2016,SC,2,T,0
2016,SC,3,F,43819
2016,SC,3,T,0
2016,SC,4,F,50335
2016,SC,4,T,0
2016,TN,1,F,138703
2016,TN,1,T,0
2016,TN,2,F,137215
2016,TN,2,T,0
2016,TN,3,F,141851
2016,TN,3,T,0
2016,TN,4,F,136048
2016,TN,4,T,0
2016,UT,1,F,28029
2016,UT,1,T,0
2016,UT,2,F,25281
2016,UT,2,T,0
2016,UT,3,F,22532
2016,UT,3,T,0
2016,UT,4,F,26318
2016,UT,4,T,0
2016,VA,1,F,108689
2016,VA,1,T,0
2016,VA,2,F,111246
2016,VA,2,T,0
2016,VA,3,F,113467
2016,VA,3,T,0
2016,VA,4,F,111864
2016,VA,4,T,0
2016,WA,1,F,196173
2016,WA,1,T,0
2016,WA,2,F,193290
2016,WA,2,T,0
2016,WA,3,F,193884
2016,WA,3,T,0
2016,WA,4,F,185308
2016,WA,4,T,0
2016,WV,1,F,97557
2016,WV,1,T,0
2016,WV,2,F,106235
2016,WV,2,T,0
2016,WV,3,F,104993
2016,WV,3,T,0
2016,WV,4,F,100497
2016,WV,4,T,0
2016,WY,1,F,3518
2016,WY,1,T,0
2016,WY,2,F,3657
2016,WY,2,T,0
2016,WY,3,F,3684
2016,WY,3,T,0
2016,WY,4,F,3545
2016,WY,4,T,0
2017,AK,1,F,18927
2017,AK,1,T,0
2017,AK,2,F,17605
2017,AK,2,T,0
2017,AK,3,F,18972
2017,AK,3,T,0
2017,AK,4,F,16161
2017,AK,4,T,0
2017,AZ,1,F,227628
2017,AZ,1,T,0
2017,AZ,2,F,233532
2017,AZ,2,T,0
2017,AZ,3,F,230588
2017,AZ,3,T,0
2017,AZ,4,F,231061
2017,AZ,4,T,0
2017,CO,1,F,86485
2017,CO,1,T,0
2017,CO,2,F,78864
2017,CO,2,T,0
2017,CO,3,F,82244
2017,CO,3,T,0
2017,CO,4,F,77972
2017,CO,4,T,0
2017,CT,1,F,111476
2017,CT,1,T,0
2017,CT,2,F,108507
2017,CT,2,T,0
2017,CT,3,F,108985
2017,CT,3,T,0
2017,CT,4,F,113027
2017,CT,4,T,0
2017,DE,1,F,24985
2017,DE,1,T,0
2017,DE,2,F,25196
2017,DE,2,T,0
2017,DE,3,F,25619
2017,DE,3,T,0
2017,DE,4,F,25287
2017,DE,4,T,0
2017,FL,1,F,305508
2017,FL,1,T,0
2017,FL,2,F,378096
2017,FL,2,T,0
2017,FL,3,F,309106
2017,FL,3,T,0
2017,FL,4,F,318973
2017,FL,4,T,0
2017,HI,1,F,56590
2017,HI,1,T,0
2017,HI,2,F,53247
2017,HI,2,T,0
2017,HI,3,F,44000
2017,HI,3,T,0
2017,HI,4,F,40459
2017,HI,4,T,0
2017,IL,1,F,489162
2017,IL,1,T,0
2017,IL,2,F,336404
2017,IL,2,T,0
2017,IL,3,F,344517
2017,IL,3,T,0
2017,IL,4,F,343574
2017,IL,4,T,0
2017,IN,1,F,200129
2017,IN,1,T,0
2017,IN,2,F,198380
2017,IN,2,T,0
2017,IN,3,F,206748
2017,IN,3,T,0
2017,IN,4,F,203637
2017,IN,4,T,0
2017,KY,1,F,335816
2017,KY,1,T,0
2017,KY,2,F,278103
2017,KY,2,T,0
2017,KY,3,F,331755
2017,KY,3,T,0
2017,KY,4,F,329181
2017,KY,4,T,0
2017,LA,1,F,199796
2017,LA,1,T,0
2017,LA,2,F,224869
2017,LA,2,T,0
2017,LA,3,F,214729
2017,LA,3,T,0
2017,LA,4,F,226750
2017,LA,4,T,0
2017,MI,1,F,477490
2017,MI,1,T,0
2017,MI,2,F,473665
2017,MI,2,T,0
2017,MI,3,F,472964
2017,MI,3,T,0
2017,MI,4,F,468895
2017,MI,4,T,0
2017,MO,1,F,131524
2017,MO,1,T,0
2017,MO,2,F,132593
2017,MO,2,T,0
2017,MO,3,F,137312
2017,MO,3,T,0
2017,MO,4,F,140097
2017,MO,4,T,0
2017,MS,1,F,56575
2017,MS,1,T,0
2017,MS,2,F,50141
2017,MS,2,T,0
2017,MS,3,F,50254
2017,MS,3,T,0
2017,MS,4,F,54059
2017,MS,4,T,0
2017,NC,1,F,147145
2017,NC,1,T,0
2017,NC,2,F,118343
2017,NC,2,T,0
2017,NC,3,F,135702
2017,NC,3,T,0
2017,NC,4,F,119192
2017,NC,4,T,0
2017,NH,1,F,11265
2017,NH,1,T,0
2017,NH,2,F,11091
2017,NH,2,T,0
2017,NH,3,F,11444
2017,NH,3,T,0
2017,NH,4,F,11593
2017,NH,4,T,0
2017,NJ,1,F,328425
2017,NJ,1,T,0
2017,NJ,2,F,314733
2017,NJ,2,T,0
2017,NJ,3,F,303897
2017,NJ,3,T,0
2017,NJ,4,F,316550
2017,NJ,4,T,0
2017,NV,1,F,106466
2017,NV,1,T,0
2017,NV,2,F,105448
2017,NV,2,T,0
2017,NV,3,F,103913
2017,NV,3,T,0
2017,NV,4,F,106434
2017,NV,4,T,0
2017,NY,1,F,1337751
2017,NY,1,T,0
2017,NY,2,F,1146882
2017,NY,2,T,0
2017,NY,3,F,1335621
2017,NY,3,T,0
2017,NY,4,F,1346732
2017,NY,4,T,0
2017,OH,1,F,644124
2017,OH,1,T,0
2017,OH,2,F,819688
2017,OH,2,T,0
2017,OH,3,F,609852
2017,OH,3,T,0
2017,OH,4,F,606845
2017,OH,4,T,0
2017,OK,1,F,35926
2017,OK,1,T,0
2017,OK,2,F,35274
2017,OK,2,T,0
2017,OK,3,F,35804
2017,OK,3,T,0
2017,OK,4,F,36275
2017,OK,4,T,0
2017,PA,1,F,431647
2017,PA,1,T,0
2017,PA,2,F,579141
2017,PA,2,T,0
2017,PA,3,F,425500
2017,PA,3,T,0
2017,PA,4,F,429386
2017,PA,4,T,0
2017,SC,1,F,49659
2017,SC,1,T,0
2017,SC,2,F,45279
2017,SC,2,T,0
2017,SC,3,F,50903
2017,SC,3,T,0
2017,SC,4,F,51311
2017,SC,4,T,0
2017,TN,1,F,137395
2017,TN,1,T,0
2017,TN,2,F,123149
2017,TN,2,T,0
2017,TN,3,F,122955
2017,TN,3,T,0
2017,TN,4,F,127066
2017,TN,4,T,0
2017,UT,1,F,25576
2017,UT,1,T,0
2017,UT,2,F,25035
2017,UT,2,T,0
2017,UT,3,F,23812
2017,UT,3,T,0
2017,UT,4,F,22838
2017,UT,4,T,0
2017,VA,1,F,113232
2017,VA,1,T,0
2017,VA,2,F,106776
2017,VA,2,T,0
2017,VA,3,F,115276
2017,VA,3,T,0
2017,VA,4,F,113401
2017,VA,4,T,0
2017,WA,1,F,189048
2017,WA,1,T,0
2017,WA,2,F,181514
2017,WA,2,T,0
2017,WA,3,F,230108
2017,WA,3,T,0
2017,WA,4,F,182504
2017,WA,4,T,0
2017,WV,1,F,106299
2017,WV,1,T,0
2017,WV,2,F,111415
2017,WV,2,T,0
2017,WV,3,F,70782
2017,WV,3,T,0
2017,WV,4,F,101915
2017,WV,4,T,0
2017,WY,1,F,3024
2017,WY,1,T,0
